"ensembl_tr_id","GSM4223714","GSM4223715","GSM4223716","GSM4223717","GSM4223718","GSM4223719","GSM4223720","GSM4223721","GSM4223722","GSM4223723","GSM4223724","GSM4223725"
"ENSMUST00000031251",295,288,425,344,98,106,123,165,124,96,207,181
"ENSMUST00000196765",2,6,8,5,2,4,6,7,2,2,4,0
"ENSMUST00000031250",75,24,89,46,15,6,11,17,5,3,16,21
"ENSMUST00000031249",1002,569,2512,1521,898,966,521,598,939,928,700,679
"ENSMUST00000031243",313,137,329,212,3,3,8,4,0,1,9,1
"ENSMUST00000086831",385.815,194.147,293.335,203.753,76.92,62.721,138.432,123.643,65.961,55.865,97.681,93.914
"ENSMUST00000133540",149.066,123.645,156.085,134.574,20.27,15.465,65.403,49.556,11.844,19.143,24.986,19.17
"ENSMUST00000096452",124,103,147,116,42,49,62,94,23,37,38,37
"ENSMUST00000181620",13.224,2,20.512,1.747,0,0,2.345,6,2.144,3.265,2.258,0
"ENSMUST00000200034",6.47,0,3.223,3.932,0,2,4.874,0,0,1,1,0
"ENSMUST00000197606",4.306,0,10.265,5.222,4,2,15.782,0,11.856,1.735,5.742,8
"ENSMUST00000186219",8,4,10,9,3,1,10,10,9,4,6,5
"ENSMUST00000031239",8,7,13,4,0,0,0,1,0,0,0,0
"ENSMUST00000199483",2.112,2,4,0,0,1,0,0,0,0,1,0
"ENSMUST00000031238",2,0,0,4,4,0,0,4,2,2,7,9
"ENSMUST00000196204",4.594,0,0,0,2.238,1.055,0,5.43,1.569,0,5.738,4.497
"ENSMUST00000050011",0,29,0,18.06,14.323,67.762,56.007,24.245,22.492,0,72.899,60.899
"ENSMUST00000200045",35.294,0,39,14.94,124.439,122.184,208.473,277.144,38.353,67,139.671,184.604
"ENSMUST00000197905",5.759,0,0,6.05,3.894,1.15,1.574,2.658,1.019,0,2.963,1.948
"ENSMUST00000112707",89,52,109,57,7,12,27,27,6,2,10,12
"ENSMUST00000067924",192.013,138,235.545,202.888,58.109,61.043,130.009,161,38,66,100.007,94.397
"ENSMUST00000060531",146,142,244,242,115,94,197,191,58,44,117,120
"ENSMUST00000135776",15.86,7.437,9.353,0,7.422,7.215,8.009,3.443,4.92,6.609,6.031,3.89
"ENSMUST00000132586",527.703,1637.98,775.298,2081.86,841.323,872.261,1721.255,1921.852,1136.323,1019.37,1347.813,1264.166
"ENSMUST00000031227",23.754,18.488,24.081,39.615,14,21,4.619,21.776,14.456,7.685,14.931,16.627
"ENSMUST00000138615",44.246,16.836,42.896,26.77,0,0,8.381,0,0,0,5.069,0
"ENSMUST00000135215",0,0,0,0,0,0,0,4.224,0,7.315,0,0
"ENSMUST00000196433",6.997,3.704,9.05,5.594,1.127,6.401,7.431,3.997,0,1.928,3,1
"ENSMUST00000086795",0,0,5.009,3.938,0,2.108,0,2.628,0,3.057,1.052,3.672
"ENSMUST00000124394",1,0,36,2,0,4,13,7,2,1,8,10
"ENSMUST00000112696",47.425,15.77,50.975,34.627,2.204,14.927,8.44,5.263,13.809,17.073,4.369,8.539
"ENSMUST00000045466",38.888,13.721,44.717,15.174,13.039,0,8.493,15.063,9.442,11.643,7.835,0
"ENSMUST00000112695",88.453,68.757,108.714,72.89,38.235,35.956,63.574,48.373,44.499,42.615,44.332,37.207
"ENSMUST00000112694",6.825,8.817,0,23.493,0,5.118,2.717,5.986,17.53,0,12.291,0
"ENSMUST00000127434",13.237,0,3.985,0,0,0,0,0,0,0,0,0
"ENSMUST00000142391",1.296,0.97,5.235,0,0,9.005,0,0,0,3.684,0,7.005
"ENSMUST00000156851",39.862,17.807,80.774,32.815,2.522,0,9.776,1.315,0,0,3.456,0
"ENSMUST00000200044",4,2,4,5,2,0,5,1.004,2,0,4,3
"ENSMUST00000076467",9,3,9,0,0,1,0,3,0,1,0,0
"ENSMUST00000031224",15,5.026,24,7,3,2.255,12.792,27,5,6,20.653,14
"ENSMUST00000146591",0,2.974,0,0,0,1.745,1.208,0,1,1,1.347,2
"ENSMUST00000198390",92.503,53.784,56.822,36.28,20.075,28.066,62.263,45.969,22.254,17.064,22.372,30.018
"ENSMUST00000197184",2.929,1.031,2.778,1.03,0,0,0,0.925,0,0,3.119,0
"ENSMUST00000031215",8.378,0,1.387,5,0,1.74,5.694,3.421,1.798,0,0,1.521
"ENSMUST00000162804",6.622,5,14.613,0,2,3.26,4.306,9.579,3.202,8,2,6.479
"ENSMUST00000199508",7,7,4,4,3,2,5,1,7,4,5,4
"ENSMUST00000049146",102,79,55,60,37,38,51,35,51,63,56,51
"ENSMUST00000100951",244.781,199.36,252.425,197.442,75.525,83.741,149.291,135.483,118.558,104.44,152.847,113.119
"ENSMUST00000060553",11.614,15.617,15.952,26.217,0,3,6.81,3.133,3.187,4.425,5.102,5.279
"ENSMUST00000143074",30.489,10.804,28.35,14.625,9.214,12.022,16.453,2.968,9.752,3.746,2.468,10.199
"ENSMUST00000162591",7,0,3,2,3,4,1,2,1,3,1,0
"ENSMUST00000078021",14.272,6.209,0,0,0,0,76,0,0,0,0,0
"ENSMUST00000100949",0,0,0,1.404,0,47.736,0,63.089,40,45,0,46
"ENSMUST00000137939",62.728,61.791,55.541,91.596,36.196,5.264,0,0,0,0,65,0
"ENSMUST00000082121",0,0,11.459,0,0,0,0,0,0,0,0,0
"ENSMUST00000124546",0,0,0,0,11.804,0,0,5.911,0,0,0,0
"ENSMUST00000065422",29,26.756,28,26.612,10,13,20.002,13.403,8,9,11.277,9
"ENSMUST00000112655",6,26.244,16,24.388,17,19,25.998,25.597,30,18,35.723,24
"ENSMUST00000112642",500.397,373.397,373.916,361.979,84.447,87.226,141.28,148.314,82,67.963,89.814,94
"ENSMUST00000124590",74.059,46.968,103.695,48.021,6.553,6.774,9.72,12.687,0,7.037,7.186,0
"ENSMUST00000138111",43.295,0,0,0,0,0,0,0,0,0,0,0
"ENSMUST00000141673",26.146,0,34.075,0,0,0,0,0,0,0,0,0
"ENSMUST00000133411",3,4,7,4,2,3,2,2,4,5,5,2
"ENSMUST00000082223",51.451,3.285,27.478,10.862,0,0,8.514,0,7.418,1.321,0,1.73
"ENSMUST00000140659",0,0,0,0,0,0,1305.738,0,890.056,838.679,1269.256,1278.118
"ENSMUST00000151767",0,0,0,68.829,716.667,709,0,1155.299,4.526,0,0,0
"ENSMUST00000031198",65,53,39,66,4,9,16,24,10,16,21,31
